ID,question,state,state name,State Id,year,applies to,response,citations,cautions
43,Does state law require criminal background checks for gun sales by unlicensed sellers?,TX,Texas,43,1991,All,No,,
44,Does state law require criminal background checks for gun sales by unlicensed sellers?,UT,Utah,44,1991,All,No,,
45,Does state law require criminal background checks for gun sales by unlicensed sellers?,VT,Vermont,45,1991,All,No,,
46,Does state law require criminal background checks for gun sales by unlicensed sellers?,VA,Virginia,46,1991,All,No,,
47,Does state law require criminal background checks for gun sales by unlicensed sellers?,WA,Washington,47,1991,All,No,,
48,Does state law require criminal background checks for gun sales by unlicensed sellers?,DC,Washington D.C,48,1991,All,Yes,D.C. Code § 6-2311; D.C. Code § 6-2352,
49,Does state law require criminal background checks for gun sales by unlicensed sellers?,WV,West Virginia,49,1991,All,No,,
50,Does state law require criminal background checks for gun sales by unlicensed sellers?,WI,Wisconsin,50,1991,All,No,,
51,Does state law require criminal background checks for gun sales by unlicensed sellers?,WY,Wyoming,51,1991,All,No,,
52,Does state law require criminal background checks for gun sales by unlicensed sellers?,AL,Alabama,1,1992,All,No,,
53,Does state law require criminal background checks for gun sales by unlicensed sellers?,AK,Alaska,2,1992,All,No,,
54,Does state law require criminal background checks for gun sales by unlicensed sellers?,AZ,Arizona,3,1992,All,No,,
55,Does state law require criminal background checks for gun sales by unlicensed sellers?,AR,Arkansas,4,1992,All,No,,
56,Does state law require criminal background checks for gun sales by unlicensed sellers?,CA,California,5,1992,All,Yes,"Cal. Penal Code §§ 12072(c),(d), 12076(d), 12082(a)",
57,Does state law require criminal background checks for gun sales by unlicensed sellers?,CO,Colorado,6,1992,All,No,,
58,Does state law require criminal background checks for gun sales by unlicensed sellers?,CT,Connecticut,7,1992,All,No,,
59,Does state law require criminal background checks for gun sales by unlicensed sellers?,DE,Delaware,8,1992,All,No,,
60,Does state law require criminal background checks for gun sales by unlicensed sellers?,FL,Florida,9,1992,All,No,,
61,Does state law require criminal background checks for gun sales by unlicensed sellers?,GA,Georgia,10,1992,All,No,,
62,Does state law require criminal background checks for gun sales by unlicensed sellers?,HI,Hawaii,11,1992,All,Yes,Haw. Rev. Stat. §134-2,
63,Does state law require criminal background checks for gun sales by unlicensed sellers?,ID,Idaho,12,1992,All,No,,
64,Does state law require criminal background checks for gun sales by unlicensed sellers?,IL,Illinois,13,1992,All,Yes,"Ill. Rev. Stat., Ch. 38, para. 83-2; Ill. Rev. Stat., Ch. Ch.38, para. 83-3",
65,Does state law require criminal background checks for gun sales by unlicensed sellers?,IN,Indiana,14,1992,All,Yes,Ind. Code § 35-47-2-9,
66,Does state law require criminal background checks for gun sales by unlicensed sellers?,IA,Iowa,15,1992,All,Yes,Iowa Code § 724.15,
67,Does state law require criminal background checks for gun sales by unlicensed sellers?,KS,Kansas,16,1992,All,No,,
68,Does state law require criminal background checks for gun sales by unlicensed sellers?,KY,Kentucky,17,1992,All,No,,
69,Does state law require criminal background checks for gun sales by unlicensed sellers?,LA,Louisiana,18,1992,All,No,,
70,Does state law require criminal background checks for gun sales by unlicensed sellers?,ME,Maine,19,1992,All,No,,
71,Does state law require criminal background checks for gun sales by unlicensed sellers?,MD,Maryland,20,1992,All,No,,
72,Does state law require criminal background checks for gun sales by unlicensed sellers?,MA,Massachusetts,21,1992,All,Yes,"Mass. Gen. Laws ch. 140, § 128A",
73,Does state law require criminal background checks for gun sales by unlicensed sellers?,MI,Michigan,22,1992,All,Yes,"MCLS §§ 28.422, 28.426",
74,Does state law require criminal background checks for gun sales by unlicensed sellers?,MN,Minnesota,23,1992,All,No,,
75,Does state law require criminal background checks for gun sales by unlicensed sellers?,MS,Mississippi,24,1992,All,No,,
76,Does state law require criminal background checks for gun sales by unlicensed sellers?,MO,Missouri,25,1992,All,Yes,§ 571.090 R.S.Mo,
77,Does state law require criminal background checks for gun sales by unlicensed sellers?,MT,Montana,26,1992,All,No,,
78,Does state law require criminal background checks for gun sales by unlicensed sellers?,NE,Nebraska,27,1992,All,Yes,"Neb. Rev Stat. §§ 69-2403, 69-2404, 69-2411",
79,Does state law require criminal background checks for gun sales by unlicensed sellers?,NV,Nevada,28,1992,All,No,,
80,Does state law require criminal background checks for gun sales by unlicensed sellers?,NH,New Hampshire,29,1992,All,No,,
81,Does state law require criminal background checks for gun sales by unlicensed sellers?,NJ,New Jersey,30,1992,All,Yes,"N.J. Stat. § 2C:58-3(a), (b)",
82,Does state law require criminal background checks for gun sales by unlicensed sellers?,NM,New Mexico,31,1992,All,No,,
83,Does state law require criminal background checks for gun sales by unlicensed sellers?,NY,New York,32,1992,All,Yes,N.Y. Penal Law § 400.00(4),
84,Does state law require criminal background checks for gun sales by unlicensed sellers?,NC,North Carolina,33,1992,All,Yes,N.C. Gen. Stat. § 14-402(a),
85,Does state law require criminal background checks for gun sales by unlicensed sellers?,ND,North Dakota,34,1992,All,No,,
86,Does state law require criminal background checks for gun sales by unlicensed sellers?,OH,Ohio,35,1992,All,No,,
87,Does state law require criminal background checks for gun sales by unlicensed sellers?,OK,Oklahoma,36,1992,All,No,,
88,Does state law require criminal background checks for gun sales by unlicensed sellers?,OR,Oregon,37,1992,All,No,,
89,Does state law require criminal background checks for gun sales by unlicensed sellers?,PA,Pennsylvania,38,1992,All,No,,"While no background check was required, these sales were addressed by state law. Prior to making a purchase, a buyer was required to fill out an application for purchase, which the seller sent to local law enforcement. The firearm could not be delivered until 48 hours elapsed from the time of application. 18 Pa. Cons. Stat. § 6111(b)."
90,Does state law require criminal background checks for gun sales by unlicensed sellers?,RI,Rhode Island,39,1992,All,Yes,R.I. Gen. Laws § 11-47-35(a)(2); R.I. Gen. Laws § 11-47-35.2(b),
91,Does state law require criminal background checks for gun sales by unlicensed sellers?,SC,South Carolina,40,1992,All,No,,
92,Does state law require criminal background checks for gun sales by unlicensed sellers?,SD,South Dakota,41,1992,All,No,,
93,Does state law require criminal background checks for gun sales by unlicensed sellers?,TN,Tennessee,42,1992,All,No,,"While no background check was required, these sales were addressed by state law. Prior to making a purchase, a buyer was required to fill out a certification that he was not prohibited, which the seller sent to law enforcement. The firearm could not be delivered until 15 days elapsed from the time of application. Tenn. Code Ann. § 39-17-1316(b)."
94,Does state law require criminal background checks for gun sales by unlicensed sellers?,TX,Texas,43,1992,All,No,,
95,Does state law require criminal background checks for gun sales by unlicensed sellers?,UT,Utah,44,1992,All,No,,
96,Does state law require criminal background checks for gun sales by unlicensed sellers?,VT,Vermont,45,1992,All,No,,
97,Does state law require criminal background checks for gun sales by unlicensed sellers?,VA,Virginia,46,1992,All,No,,
98,Does state law require criminal background checks for gun sales by unlicensed sellers?,WA,Washington,47,1992,All,No,,
99,Does state law require criminal background checks for gun sales by unlicensed sellers?,DC,Washington,48,1992,All,Yes,D.C. Code § 6-2311; D.C. Code § 6-2352,
100,Does state law require criminal background checks for gun sales by unlicensed sellers?,WV,West Virginia,49,1992,All,No,,
101,Does state law require criminal background checks for gun sales by unlicensed sellers?,WI,Wisconsin,50,1992,All,No,,
102,Does state law require criminal background checks for gun sales by unlicensed sellers?,WY,Wyoming,51,1992,All,No,,
103,Does state law require criminal background checks for gun sales by unlicensed sellers?,AL,Alabama,1,1993,All,No,,
104,Does state law require criminal background checks for gun sales by unlicensed sellers?,AK,Alaska,2,1993,All,No,,
105,Does state law require criminal background checks for gun sales by unlicensed sellers?,AZ,Arizona,3,1993,All,No,,
106,Does state law require criminal background checks for gun sales by unlicensed sellers?,AR,Arkansas,4,1993,All,No,,
107,Does state law require criminal background checks for gun sales by unlicensed sellers?,CA,California,5,1993,All,Yes,"Cal. Penal Code §§ 12072(c),(d), 12076(d), 12082(a)",
108,Does state law require criminal background checks for gun sales by unlicensed sellers?,CO,Colorado,6,1993,All,No,,
109,Does state law require criminal background checks for gun sales by unlicensed sellers?,CT,Connecticut,7,1993,All,No,,
110,Does state law require criminal background checks for gun sales by unlicensed sellers?,DE,Delaware,8,1993,All,No,,
111,Does state law require criminal background checks for gun sales by unlicensed sellers?,FL,Florida,9,1993,All,No,,
112,Does state law require criminal background checks for gun sales by unlicensed sellers?,GA,Georgia,10,1993,All,No,,
113,Does state law require criminal background checks for gun sales by unlicensed sellers?,HI,Hawaii,11,1993,All,Yes,Haw. Rev. Stat. §134-2,
114,Does state law require criminal background checks for gun sales by unlicensed sellers?,ID,Idaho,12,1993,All,No,,
115,Does state law require criminal background checks for gun sales by unlicensed sellers?,IL,Illinois,13,1993,All,Yes,430 Ill. Comp. Stat. 65/2; 430 Ill. Comp. Stat. 65/3,
116,Does state law require criminal background checks for gun sales by unlicensed sellers?,IN,Indiana,14,1993,All,Yes,Ind. Code § 35-47-2-9,
117,Does state law require criminal background checks for gun sales by unlicensed sellers?,IA,Iowa,15,1993,All,Yes,Iowa Code § 724.15,
118,Does state law require criminal background checks for gun sales by unlicensed sellers?,KS,Kansas,16,1993,All,No,,
119,Does state law require criminal background checks for gun sales by unlicensed sellers?,KY,Kentucky,17,1993,All,No,,
120,Does state law require criminal background checks for gun sales by unlicensed sellers?,LA,Louisiana,18,1993,All,No,,
121,Does state law require criminal background checks for gun sales by unlicensed sellers?,ME,Maine,19,1993,All,No,,
122,Does state law require criminal background checks for gun sales by unlicensed sellers?,MD,Maryland,20,1993,All,No,,
123,Does state law require criminal background checks for gun sales by unlicensed sellers?,MA,Massachusetts,21,1993,All,Yes,"Mass. Gen. Laws ch. 140, § 128A",
124,Does state law require criminal background checks for gun sales by unlicensed sellers?,MI,Michigan,22,1993,All,Yes,"MCLS §§ 28.422, 28.426",
125,Does state law require criminal background checks for gun sales by unlicensed sellers?,MN,Minnesota,23,1993,All,No,,
126,Does state law require criminal background checks for gun sales by unlicensed sellers?,MS,Mississippi,24,1993,All,No,,
127,Does state law require criminal background checks for gun sales by unlicensed sellers?,MO,Missouri,25,1993,All,Yes,§ 571.090 R.S.Mo,
128,Does state law require criminal background checks for gun sales by unlicensed sellers?,MT,Montana,26,1993,All,No,,
129,Does state law require criminal background checks for gun sales by unlicensed sellers?,NE,Nebraska,27,1993,All,Yes,"Neb. Rev Stat. §§ 69-2403, 69-2404, 69-2411",
130,Does state law require criminal background checks for gun sales by unlicensed sellers?,NV,Nevada,28,1993,All,No,,
131,Does state law require criminal background checks for gun sales by unlicensed sellers?,NH,New Hampshire,29,1993,All,No,,
132,Does state law require criminal background checks for gun sales by unlicensed sellers?,NJ,New Jersey,30,1993,All,Yes,"N.J. Stat. § 2C:58-3(a), (b)",
133,Does state law require criminal background checks for gun sales by unlicensed sellers?,NM,New Mexico,31,1993,All,No,,
134,Does state law require criminal background checks for gun sales by unlicensed sellers?,NY,New York,32,1993,All,Yes,N.Y. Penal Law § 400.00(4),
135,Does state law require criminal background checks for gun sales by unlicensed sellers?,NC,North Carolina,33,1993,All,Yes,N.C. Gen. Stat. § 14-402(a),
136,Does state law require criminal background checks for gun sales by unlicensed sellers?,ND,North Dakota,34,1993,All,No,,
137,Does state law require criminal background checks for gun sales by unlicensed sellers?,OH,Ohio,35,1993,All,No,,
138,Does state law require criminal background checks for gun sales by unlicensed sellers?,OK,Oklahoma,36,1993,All,No,,
139,Does state law require criminal background checks for gun sales by unlicensed sellers?,OR,Oregon,37,1993,All,No,,
140,Does state law require criminal background checks for gun sales by unlicensed sellers?,PA,Pennsylvania,38,1993,All,No,,"While no background check was required, these sales were addressed by state law. Prior to making a purchase, a buyer was required to fill out an application for purchase, which the seller sent to local law enforcement. The firearm could not be delivered until 48 hours elapsed from the time of application. 18 Pa. Cons. Stat. § 6111(b)."
141,Does state law require criminal background checks for gun sales by unlicensed sellers?,RI,Rhode Island,39,1993,All,Yes,R.I. Gen. Laws § 11-47-35(a)(2); R.I. Gen. Laws § 11-47-35.2(b),
142,Does state law require criminal background checks for gun sales by unlicensed sellers?,SC,South Carolina,40,1993,All,No,,
143,Does state law require criminal background checks for gun sales by unlicensed sellers?,SD,South Dakota,41,1993,All,No,,
144,Does state law require criminal background checks for gun sales by unlicensed sellers?,TN,Tennessee,42,1993,All,No,,"While no background check was required, these sales were addressed by state law. Prior to making a purchase, a buyer was required to fill out a certification that he was not prohibited, which the seller sent to law enforcement. The firearm could not be delivered until 15 days elapsed from the time of application. Tenn. Code Ann. § 39-17-1316(b)."
145,Does state law require criminal background checks for gun sales by unlicensed sellers?,TX,Texas,43,1993,All,No,,
146,Does state law require criminal background checks for gun sales by unlicensed sellers?,UT,Utah,44,1993,All,No,,
147,Does state law require criminal background checks for gun sales by unlicensed sellers?,VT,Vermont,45,1993,All,No,,
148,Does state law require criminal background checks for gun sales by unlicensed sellers?,VA,Virginia,46,1993,All,No,,
149,Does state law require criminal background checks for gun sales by unlicensed sellers?,WA,Washington,47,1993,All,No,,
150,Does state law require criminal background checks for gun sales by unlicensed sellers?,DC,Washington D.C,48,1993,All,Yes,D.C. Code § 6-2311; D.C. Code § 6-2352,
151,Does state law require criminal background checks for gun sales by unlicensed sellers?,WV,West Virginia,49,1993,All,No,,
152,Does state law require criminal background checks for gun sales by unlicensed sellers?,WI,Wisconsin,50,1993,All,No,,
153,Does state law require criminal background checks for gun sales by unlicensed sellers?,WY,Wyoming,51,1993,All,No,,
154,Does state law require criminal background checks for gun sales by unlicensed sellers?,AL,Alabama,1,1994,All,No,,
155,Does state law require criminal background checks for gun sales by unlicensed sellers?,AK,Alaska,2,1994,All,No,,
156,Does state law require criminal background checks for gun sales by unlicensed sellers?,AZ,Arizona,3,1994,All,No,,
157,Does state law require criminal background checks for gun sales by unlicensed sellers?,AR,Arkansas,4,1994,All,No,,
158,Does state law require criminal background checks for gun sales by unlicensed sellers?,CA,California,5,1994,All,Yes,"Cal. Penal Code §§ 12072(c),(d), 12076(d), 12082(a)",
159,Does state law require criminal background checks for gun sales by unlicensed sellers?,CO,Colorado,6,1994,All,No,,
160,Does state law require criminal background checks for gun sales by unlicensed sellers?,CT,Connecticut,7,1994,All,Yes,"Conn. Gen. Stat. § 29-33(c); Office of Legislative Research, Connecticut General Assembly","The law had an exception for buyers who held a state-issued carry permit or handgun eligibility certificate, but law enforcement were required to verify these permits at the time of purchase. For these buyers, law enforcement verified the permits by running a background check on the buyers."
161,Does state law require criminal background checks for gun sales by unlicensed sellers?,DE,Delaware,8,1994,All,No,,
162,Does state law require criminal background checks for gun sales by unlicensed sellers?,FL,Florida,9,1994,All,No,,
163,Does state law require criminal background checks for gun sales by unlicensed sellers?,GA,Georgia,10,1994,All,No,,
164,Does state law require criminal background checks for gun sales by unlicensed sellers?,HI,Hawaii,11,1994,All,Yes,Haw. Rev. Stat. §134-2,
165,Does state law require criminal background checks for gun sales by unlicensed sellers?,ID,Idaho,12,1994,All,No,,
166,Does state law require criminal background checks for gun sales by unlicensed sellers?,IL,Illinois,13,1994,All,Yes,430 Ill. Comp. Stat. 65/2; 430 Ill. Comp. Stat. 65/3,
167,Does state law require criminal background checks for gun sales by unlicensed sellers?,IN,Indiana,14,1994,All,Yes,Ind. Code § 35-47-2-9,
168,Does state law require criminal background checks for gun sales by unlicensed sellers?,IA,Iowa,15,1994,All,Yes,Iowa Code § 724.15,
169,Does state law require criminal background checks for gun sales by unlicensed sellers?,KS,Kansas,16,1994,All,No,,
170,Does state law require criminal background checks for gun sales by unlicensed sellers?,KY,Kentucky,17,1994,All,No,,
171,Does state law require criminal background checks for gun sales by unlicensed sellers?,LA,Louisiana,18,1994,All,No,,
172,Does state law require criminal background checks for gun sales by unlicensed sellers?,ME,Maine,19,1994,All,No,,
173,Does state law require criminal background checks for gun sales by unlicensed sellers?,MD,Maryland,20,1994,All,No,,
174,Does state law require criminal background checks for gun sales by unlicensed sellers?,MA,Massachusetts,21,1994,All,Yes,"Mass. Gen. Laws ch. 140, § 128A",
175,Does state law require criminal background checks for gun sales by unlicensed sellers?,MI,Michigan,22,1994,All,Yes,"MCLS §§ 28.422, 28.426",
176,Does state law require criminal background checks for gun sales by unlicensed sellers?,MN,Minnesota,23,1994,All,No,,
177,Does state law require criminal background checks for gun sales by unlicensed sellers?,MS,Mississippi,24,1994,All,No,,
178,Does state law require criminal background checks for gun sales by unlicensed sellers?,MO,Missouri,25,1994,All,Yes,§ 571.090 R.S.Mo,
179,Does state law require criminal background checks for gun sales by unlicensed sellers?,MT,Montana,26,1994,All,No,,
180,Does state law require criminal background checks for gun sales by unlicensed sellers?,NE,Nebraska,27,1994,All,Yes,"Neb. Rev Stat. §§ 69-2403, 69-2404, 69-2411",
181,Does state law require criminal background checks for gun sales by unlicensed sellers?,NV,Nevada,28,1994,All,No,,
182,Does state law require criminal background checks for gun sales by unlicensed sellers?,NH,New Hampshire,29,1994,All,No,,
183,Does state law require criminal background checks for gun sales by unlicensed sellers?,NJ,New Jersey,30,1994,All,Yes,"N.J. Stat. § 2C:58-3(a), (b)",
184,Does state law require criminal background checks for gun sales by unlicensed sellers?,NM,New Mexico,31,1994,All,No,,
185,Does state law require criminal background checks for gun sales by unlicensed sellers?,NY,New York,32,1994,All,Yes,N.Y. Penal Law § 400.00(4),
186,Does state law require criminal background checks for gun sales by unlicensed sellers?,NC,North Carolina,33,1994,All,Yes,N.C. Gen. Stat. § 14-402(a),
187,Does state law require criminal background checks for gun sales by unlicensed sellers?,ND,North Dakota,34,1994,All,No,,
188,Does state law require criminal background checks for gun sales by unlicensed sellers?,OH,Ohio,35,1994,All,No,,
189,Does state law require criminal background checks for gun sales by unlicensed sellers?,OK,Oklahoma,36,1994,All,No,,
190,Does state law require criminal background checks for gun sales by unlicensed sellers?,OR,Oregon,37,1994,All,No,,
191,Does state law require criminal background checks for gun sales by unlicensed sellers?,PA,Pennsylvania,38,1994,All,No,,"While no background check was required, these sales were addressed by state law. Prior to making a purchase, a buyer was required to fill out an application for purchase, which the seller sent to local law enforcement. The firearm could not be delivered until 48 hours elapsed from the time of application. 18 Pa. Cons. Stat. § 6111(b)."
192,Does state law require criminal background checks for gun sales by unlicensed sellers?,RI,Rhode Island,39,1994,All,Yes,R.I. Gen. Laws § 11-47-35(a)(2); R.I. Gen. Laws § 11-47-35.2(b),
193,Does state law require criminal background checks for gun sales by unlicensed sellers?,SC,South Carolina,40,1994,All,No,,
194,Does state law require criminal background checks for gun sales by unlicensed sellers?,SD,South Dakota,41,1994,All,No,,
195,Does state law require criminal background checks for gun sales by unlicensed sellers?,TN,Tennessee,42,1994,All,Yes,"Tenn. Code Ann. § 39-17-1316(b)(1), (d)",
196,Does state law require criminal background checks for gun sales by unlicensed sellers?,TX,Texas,43,1994,All,No,,
197,Does state law require criminal background checks for gun sales by unlicensed sellers?,UT,Utah,44,1994,All,No,,
198,Does state law require criminal background checks for gun sales by unlicensed sellers?,VT,Vermont,45,1994,All,No,,
199,Does state law require criminal background checks for gun sales by unlicensed sellers?,VA,Virginia,46,1994,All,No,,
200,Does state law require criminal background checks for gun sales by unlicensed sellers?,WA,Washington,47,1994,All,No,,
201,Does state law require criminal background checks for gun sales by unlicensed sellers?,DC,Washington D.C,48,1994,All,Yes,D.C. Code § 6-2311; D.C. Code § 6-2352,
202,Does state law require criminal background checks for gun sales by unlicensed sellers?,WV,West Virginia,49,1994,All,No,,
203,Does state law require criminal background checks for gun sales by unlicensed sellers?,WI,Wisconsin,50,1994,All,No,,
204,Does state law require criminal background checks for gun sales by unlicensed sellers?,WY,Wyoming,51,1994,All,No,,
205,Does state law require criminal background checks for gun sales by unlicensed sellers?,AL,Alabama,1,1995,All,No,,
206,Does state law require criminal background checks for gun sales by unlicensed sellers?,AK,Alaska,2,1995,All,No,,
207,Does state law require criminal background checks for gun sales by unlicensed sellers?,AZ,Arizona,3,1995,All,No,,
208,Does state law require criminal background checks for gun sales by unlicensed sellers?,AR,Arkansas,4,1995,All,No,,
209,Does state law require criminal background checks for gun sales by unlicensed sellers?,CA,California,5,1995,All,Yes,"Cal. Penal Code §§ 12072(c),(d), 12076(d), 12082(a)",
210,Does state law require criminal background checks for gun sales by unlicensed sellers?,CO,Colorado,6,1995,All,No,,
211,Does state law require criminal background checks for gun sales by unlicensed sellers?,CT,Connecticut,7,1995,All,Yes,Conn. Gen. Stat. § 29-33(c),
212,Does state law require criminal background checks for gun sales by unlicensed sellers?,DE,Delaware,8,1995,All,No,,
213,Does state law require criminal background checks for gun sales by unlicensed sellers?,FL,Florida,9,1995,All,No,,
214,Does state law require criminal background checks for gun sales by unlicensed sellers?,GA,Georgia,10,1995,All,No,,
215,Does state law require criminal background checks for gun sales by unlicensed sellers?,HI,Hawaii,11,1995,All,Yes,Haw. Rev. Stat. §134-2,
216,Does state law require criminal background checks for gun sales by unlicensed sellers?,ID,Idaho,12,1995,All,No,,
217,Does state law require criminal background checks for gun sales by unlicensed sellers?,IL,Illinois,13,1995,All,Yes,430 Ill. Comp. Stat. 65/2; 430 Ill. Comp. Stat. 65/3,
218,Does state law require criminal background checks for gun sales by unlicensed sellers?,IN,Indiana,14,1995,All,Yes,Ind. Code § 35-47-2-9,
219,Does state law require criminal background checks for gun sales by unlicensed sellers?,IA,Iowa,15,1995,All,Yes,Iowa Code § 724.15,
220,Does state law require criminal background checks for gun sales by unlicensed sellers?,KS,Kansas,16,1995,All,No,,
221,Does state law require criminal background checks for gun sales by unlicensed sellers?,KY,Kentucky,17,1995,All,No,,
222,Does state law require criminal background checks for gun sales by unlicensed sellers?,LA,Louisiana,18,1995,All,No,,
223,Does state law require criminal background checks for gun sales by unlicensed sellers?,ME,Maine,19,1995,All,No,,
224,Does state law require criminal background checks for gun sales by unlicensed sellers?,MD,Maryland,20,1995,All,No,,
225,Does state law require criminal background checks for gun sales by unlicensed sellers?,MA,Massachusetts,21,1995,All,Yes,"Mass. Gen. Laws ch. 140, § 128A",
226,Does state law require criminal background checks for gun sales by unlicensed sellers?,MI,Michigan,22,1995,All,Yes,"MCLS §§ 28.422, 28.426",
227,Does state law require criminal background checks for gun sales by unlicensed sellers?,MN,Minnesota,23,1995,All,No,,
228,Does state law require criminal background checks for gun sales by unlicensed sellers?,MS,Mississippi,24,1995,All,No,,
229,Does state law require criminal background checks for gun sales by unlicensed sellers?,MO,Missouri,25,1995,All,Yes,§ 571.090 R.S.Mo,
230,Does state law require criminal background checks for gun sales by unlicensed sellers?,MT,Montana,26,1995,All,No,,
231,Does state law require criminal background checks for gun sales by unlicensed sellers?,NE,Nebraska,27,1995,All,Yes,"Neb. Rev Stat. §§ 69-2403, 69-2404, 69-2411",
232,Does state law require criminal background checks for gun sales by unlicensed sellers?,NV,Nevada,28,1995,All,No,,
233,Does state law require criminal background checks for gun sales by unlicensed sellers?,NH,New Hampshire,29,1995,All,No,,
